gene,uniprot,log2FC_2Dvs3D,padj,dir_3D,modalities,approved,drug_count,max_phase,luad_score,description,lung_ca_score,chembl_sterol_axis,druggable_any
S100A14,Q9HCY8,1.44,0.00284,down_in_3D,"AB,PR",False,0,,,Protein S100-A14,0.085,,False
CYP24A1,Q07973,1.49,0.000356,down_in_3D,"PR,SM",False,0,,,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",,,False
RHOF,Q9HBH0,1.51,0.000848,down_in_3D,"AB,PR",False,0,,,Rho-related GTP-binding protein RhoF,,,False
CXCL5,P42830,1.54,0.00159,down_in_3D,AB,False,0,,,C-X-C motif chemokine 5,0.088,,False
EPHA2,P29317,1.54,0.000241,down_in_3D,"AB,PR,SM",True,3,4.0,,Ephrin type-A receptor 2,0.41,,True
TFRC,P02786,1.55,0.000241,down_in_3D,"AB,OC,PR,SM",False,3,4.0,,Transferrin receptor protein 1,0.223,,True
H3C15,Q71DI3,1.58,0.00312,down_in_3D,,False,0,,,Histone H3.2,,,False
LAMA3,Q16787,1.59,0.000241,down_in_3D,"AB,OC,PR",False,1,4.0,,Laminin subunit alpha-3,,,True
MSMO1,Q15800,1.82,0.00183,down_in_3D,"AB,PR",False,0,,,Methylsterol monooxygenase 1,,known enzyme target,True
CD9,P21926,2.0,0.00108,down_in_3D,"AB,PR,SM",False,0,,,CD9 antigen,,,False
